Solyc00g006800	tal	transaldolase
Solyc00g007330	SlC3H1	Zinc finger transcription factor 1
Solyc00g007450	SlC3H2	Zinc finger transcription factor 2
Solyc00g009110	5pt2	inositol-1,4,5-triphosphate-5-phosphatase 2
Solyc00g012540	SlC3H3	Zinc finger transcription factor 3
Solyc00g071180	tmc	multicystatin
Solyc00g082150	AY150042	kinesin light chain I2I isoform
Solyc00g178340	SlBCAT5	SlBCAT5
Solyc00g187050	lap2	leucine aminopeptidase 2
Solyc00g198360	SlC3H4	Zinc finger transcription factor 4
Solyc00g231680	man1	(1-4)-beta-mannan endohydrolase
Solyc01g005020	sos1	Salt Overly Sensitive 1
Solyc01g005030	SlMAPKKK1	MAP kinase kinase kinase 1
Solyc01g005160	CMPG1	Avr9/Cf-9 rapidly elicited protein 1
Solyc01g005620	aci36	oxoglutarate/malate translocator
Solyc01g005960	SlDEAD1	RNA helicase DEAD1
Solyc01g006100	SlMET1L	cytosine-5 DNA methyltransferase1L
Solyc01g006300	cevi1	LECEVI1A
Solyc01g006310	Solyc01g006310	SlPeroxidase
Solyc01g006510	sdh	sorbitol related enzyme
Solyc01g006540	loxc	lipoxygenase C
Solyc01g007800	SlOFP2	ovate family protein 2
Solyc01g007810	SlOFP3	ovate family protein 3
Solyc01g007910	scoa1	succinyl-CoA ligase alpha 1 subunit
Solyc01g008170	SlC3H5	Zinc finger transcription factor  5
Solyc01g008230	SlTCP15	TCP transcription factor 15
Solyc01g008340	DQ304483	L19 ribosomal protein
Solyc01g008530	par1	phenylacetaldehyde reductase 1
Solyc01g008550	par2	phenylacetaldehyde reductase 2
Solyc01g008600	SlC3H6	Zinc finger transcription factor 6
Solyc01g008710	man4	mannan endo-1,4-beta-mannosidase
Solyc01g008930	aurea	AUREA phytochromobilin synthase
Solyc01g008950	SlCaM1	Calmodulin 1
Solyc01g008960	SlAGO4a	Argonaute 4a
Solyc01g009010	ispe	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
Solyc01g009040	SlCycB1_4	cyclinB1_4
Solyc01g009070	ob5281-EF175474	ob5281-GAMyb-like1
Solyc01g009070	gamybl1	gamyb-like 1
Solyc01g009170	eil	EIL-EIN3/EIL
Solyc01g009310	TOMTRALTBE	meloidogyne-induced giant cell protein DB217
Solyc01g010130	SlbHLH001	bHLH transcription factor 001
Solyc01g010240	SlCRCa	CRABS CLAW a
Solyc01g010350	Solyc01g010350	Glucose-6-phosphate translocator
Solyc01g010950	SlMAPKKK2	MAP kinase kinase kinase 2
Solyc01g010970	SlAGO7	Argonaute7
Solyc01g011050	shy	leucine rich repeat protein
Solyc01g011340	pp2ac2	protein phosphatase 2A catalytic subunit 2
Solyc01g014850	SlC3H7	Zinc finger transcription factor  7
Solyc01g056310	lat51	anther-specific LAT51
Solyc01g056340	det1	de-etiolated 1
Solyc01g056720	SlSIP2.1	small basic intrinsic protein 2.1
Solyc01g057760	SlDEAD2	RNA helicase DEAD2
Solyc01g058140	sfr2	beta-glycosidase 2
Solyc01g058540	SlWRKY47	WRKY transcription factor 47
Solyc01g059860	SlMAPKKK3	MAP kinase kinase kinase 3
Solyc01g059870	phyB1	phytochrome B1
Solyc01g059950	Solyc01g059950	GAI-like protein 1
Solyc01g060020	TOMB13GLUB	beta-1,3-glucanase TOMB13GLUB
Solyc01g060130	sar2	TOMGTPASE  Mill. GTPase
Solyc01g065980	Sl-ERF_E_4	Ethylene Response Factor E.4
Solyc01g067390	SlDEAH1	RNA helicase DEAH-box1
Solyc01g067550	SlC3H8	Zinc finger transcription factor 8
Solyc01g067660	bmy3	1,4-alpha-glucan-maltohydrolase
Solyc01g067710	nhx3	(Sodium/potassium)/proton exchanger 3
Solyc01g067740	SODCC1	Superoxide dismutase [Cu-Zn] 1
Solyc01g067750	AF033194	dehydroquinate dehydratase/shikimate:NADP oxidoreductase
Solyc01g067890	dxs	1-D-deoxyxylulose 5-phosphate synthase
Solyc01g068410	SlPIN5	SlPIN5
Solyc01g073640	gad3	alcohol dehydrogenase-3
Solyc01g073940	SlC3H9	Zinc finger transcription factor  9
Solyc01g079200	ga2ox-3	gibberellin 2-oxidase 3
Solyc01g079250	SlDEAH2	RNA helicase DEAH-box2
Solyc01g079260	SlWRKY23	WRKY transcription factor 23
Solyc01g079330	SlDEAD3	RNA helicase DEAD3
Solyc01g079360	SlWRKY37	WRKY transcription factor 37
Solyc01g079390	EZ1	EZ1
Solyc01g079620	y	colorless fruit epidermis
Solyc01g079620	ob8329-SLMYB12	ob8329-Solanum lycopersicum MYB12
Solyc01g079750	SlMAPKKK4	MAP kinase kinase kinase 4
Solyc01g079790	agpl3	ADP-glucose pyrophosphorylase large subunit 3
Solyc01g079870	cip2b	CONSTANS interacting protein 2b
Solyc01g079890	SlNIP7.1	NOD26-like intrinsic protein 7.1
Solyc01g080010	xegip	xyloglucan endoglucanase inhibitor
Solyc01g080150	Solyc01g080150	tRNA dimethylallyltransferase
Solyc01g080240	mapk13	mitogen-activated protein kinase 13
Solyc01g080280	cgs	chloroplast glutamine synthetase
Solyc01g081310	gstt3	glutathione S-transferase T3
Solyc01g081380	nmp1	nuclear matrix protein 1
Solyc01g081500	hp1L	heterochromatin protein 1-like protein
Solyc01g086680	gstt1	glutathione S-transferase T1
Solyc01g087030	SlC3H10	Zinc finger transcription factor 10
Solyc01g087170	SlC3H11	Zinc finger transcription factor  11
Solyc01g087250	ccd1a	carotenoid cleavage dioxygenase 1A
Solyc01g087260	ccd1b	carotenoid cleavage dioxygenase 1B
Solyc01g087640	adh	alcohol dehydrogenase
Solyc01g087780	sbt4a	serine protease SBT4A
Solyc01g087850	sbt3	serine protease SBT3
Solyc01g088100	SlC3H12	Zinc finger transcription factor 12
Solyc01g088160	SlCKX2	cytokinin oxidase2
Solyc01g088170	ao2	aldehyde oxidase 2
Solyc01g088200	ao4	aldehyde oxidase 4 pseudogene
Solyc01g088400	CER1	ECERIFERUM 1
Solyc01g089850	SlCycU4_1	cyclinU4_1
Solyc01g089960	SlWRKY12	WRKY transcription factor 12
Solyc01g090240	adi3	AvrPto-dependent Pto-interacting protein 3
Solyc01g090430	NRC1	NRC1
Solyc01g090460	thom1	HD-ZIP
Solyc01g090660	SlCCD7	carotenoid cleavage dioxygenase7
Solyc01g090710	cmdh	cytosolic malate dehydrogenase
Solyc01g090800	SlCycU2_1	cyclinU2_1
Solyc01g090810	DQ234354	beta-expansin precursor
Solyc01g091010	SlYABBY1a	CRABS CLAW-like protein1a
Solyc01g091030	SlSAUR1	Small auxin up-regulated RNA1
Solyc01g091160	arg1	arginase 1
Solyc01g091170	ARG2	ARGINASE 2
Solyc01g091190	TOMAROA	5-enolpyruvylshikimate-3-phosphate synthase
Solyc01g091630	CD2	cutin deficient 2
Solyc01g091910	pldb2	phospholipase PLDb2
Solyc01g094030	CLB1	CLB1
Solyc01g094350	SlDEAD4	RNA helicase DEAD4
Solyc01g094370	rem2	remorin 2
Solyc01g094690	SlPIP1.2	plasma membrane intrinsic protein 1.2
Solyc01g094910	fro1	ferric-chelate reductase
Solyc01g094960	mapk5	mitogen-activated protein kinase 5
Solyc01g095030	ARS1	Altered Response to Salt Stress 1
Solyc01g095080	acc2	1-aminocyclopropane-1-carboxylic acid synthase-2
Solyc01g095100	SlWRKY22	WRKY transcription factor 22
Solyc01g095150	Lea	late embryogenesis-like protein
Solyc01g095170	SlTFR88	cell wall protein SlTFR88
Solyc01g095200	TOMWIPII	proteinase inhibitor 2
Solyc01g095500	SlCRF5	Sl Cytokinin Response Factor 5
Solyc01g095630	SlWRKY41	WRKY transcription factor 41
Solyc01g095710	SlDEAH3	RNA helicase DEAH-box3
Solyc01g095740	SlDEAD5	RNA helicase DEAD5
Solyc01g096050	Solyc01g096050	bHLH transcription factor_SGN-U238928
Solyc01g096120	SlDof1	Dof zinc finger protein1
Solyc01g096140	Solyc01g096140	Aluminum-activated malate transporter
Solyc01g096190	LCA1	Ca2+-ATPase
Solyc01g096340	SlSAUR2	Small auxin up-regulated RNA2
Solyc01g096480	AF261142	thioredoxin AF261142
Solyc01g096750	SlAGO4d	Argonaute4d
Solyc01g096810	eil3	EIL3
Solyc01g097270	pi1	pathogen-induced protein
Solyc01g097270	ob5100-LEU89764	ob5100-wound-induced protein
Solyc01g097500	AF079103	LSTK-1-like kinase
Solyc01g097540	AnnSl4	annexin 4
Solyc01g097550	AnnSl6	annexin 6
Solyc01g097770	phot2	phototropin 2
Solyc01g097810	zds	zeta-carotene desaturase
Solyc01g097840	SlMAPKKK6	MAP kinase kinase kinase 6
Solyc01g097980	ctr2	CTR1-like protein kinase 2
Solyc01g098090	TOMTRALTBC	meloidogyne-induced giant cell protein DB214
Solyc01g098190	nhx4	(Sodium/potassium)/proton exchanger 4
Solyc01g098350	SlCycL1_1	L1_1
Solyc01g098610	gsh2	glutathione synthetase 2
Solyc01g098930	SlCycU3_2	cyclinU3_2
Solyc01g098980	SlMAPKKK8	MAP kinase kinase kinase 8
Solyc01g099160	cevi34	lipoxygenase
Solyc01g099190	loxb	lipoxygenase B
Solyc01g099310	SlCycH1_1	cyclinH1_1
Solyc01g099590	gst	glutathione-S-transferase
Solyc01g099630	xth1	xyloglucan endotransglucosylase-hydrolase 1
Solyc01g099670	db212	meloidogyne-induced giant cell protein db212
Solyc01g099760	ma1	LeMA-1 putatve Mg-dependent ATPase 1
Solyc01g099770	TOMTRALTAI	meloidogyne-induced giant cell protein DB141
Solyc01g100030	S40549	deoxyuridine triphosphatase
Solyc01g100200	gras4	gras4
Solyc01g100280	SlDEAH4	RNA helicase DEAH-box4
Solyc01g100490	chln	chloronerva
Solyc01g100510	tkn4	knotted 4
Solyc01g100520	clpp2	Clp protease 2 proteolytic subunit
Solyc01g100830	gols1	galactinol synthase 1
Solyc01g100990	SlC3H13	Zinc finger transcription factor 13
Solyc01g101060	sam	S-adenosyl-L-methionine synthetase
Solyc01g101240	TOMAPP	aspartic protease precursor
Solyc01g102300	SlbHLH006	bHLH transcription factor 006
Solyc01g102380	mdip1	germin
Solyc01g102540	AF081021	hpoxia-induced protein 242
Solyc01g102580	cel3	endo-1,4-beta-glucanase (Cel3)
Solyc01g103090	SlC3H14	Zinc finger transcription factor 14
Solyc01g103240	SlMAPKKK9	MAP kinase kinase kinase 9
Solyc01g103370	rab1b	small GTP-binding protein B
Solyc01g103390	opr2	12-oxophytodienoate reductase 2
Solyc01g103780	SlTCP11	TCP transcription factor 11
Solyc01g103960	SlDEAH5	RNA helicase DEAH-box15
Solyc01g104340	Gr	green ripe
Solyc01g104340	ob5321-DQ372895	ob5321-green ripe DQ372895
Solyc01g104510	msi1	WD-40 repeat protein
Solyc01g104530	SlMAPKKK10	MAP kinase kinase kinase 10
Solyc01g104550	SlWRKY9	WRKY transcription factor 9
Solyc01g104590	rpl3	ribosomal protein L3
