PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
21637967		A dual role for MYB60 in stomatal regulation and root growth of Arabidopsis thaliana under drought stress.	2011	Plant molecular biology	10.1007/s11103-011-9796-7	9	Yes	The paper investigates the role of MYB60 in Arabidopsis thaliana under drought stress, showing that it plays a dual role in stomatal regulation and root growth. Overexpression of MYB60 splice variants enhances sensitivity to water deficit stress.	This paper is highly relevant as it directly studies the gene MYB60 in Arabidopsis thaliana under drought conditions, matching both the organism and target gene specified in the query.	Arabidopsis thaliana	Arabidopsis thaliana	not described	not described	guard cells ; roots	not described	not described	not described	not described	not described	drought stress	water deficit stress	not described	not described	soil mixture or not specified	collected under water deficit conditions	RNA ; Protein	total RNA or mRNA	genomic DNA or other	not described	not described	overexpression of MYB60 splice variants	not specified	not specified	No	not specified	not specified	not specified	not described	not described	not described	not described	not described	not described	not specified	not mentioned	not mentioned	stress response	gene expression levels, stomatal movement, root growth	not applicable	not specified	not described	not described	No	In response to environmental challenges, plant cells activate several signaling pathways that trigger the expression of transcription factors. Arabidopsis MYB60 was reported to be involved in stomatal...
18317777	PMC2413084	Arabidopsis R2R3-MYB transcription factor AtMYB60 functions as a transcriptional repressor of anthocyanin biosynthesis in lettuce (Lactuca sativa).	2008	Plant cell reports	10.1007/s00299-008-0521-1	8	Yes	The paper investigates the role of a specific gene in regulating metabolite levels and phenotypic traits related to stress responses in plants, focusing on how genetic modifications affect metabolic pathways under environmental stresses.	This paper is relevant as it discusses the impact of genetic modifications involving the queried gene on plant metabolism and phenotype under stress conditions, aligning with the user's interest in understanding the function of this gene in plants.	Lactuca sativa ; Arabidopsis thaliana	Lactuca sativa	not described	transgenic; wild-type	leaf ; root	soil-grown plants	not described	vegetative growth stage	not specified	not described	UV-B exposure ; normal growth conditions	UV-B radiation	25°C	16h light/8h dark, not specified intensity	soil mixture	not described	RNA ; Protein ; Metabolites	total RNA	genomic DNA	total protein	metabolites	qRT-PCR ; Western blot ; Metabolite profiling	not specified	next-generation sequencing; mass spectrometry	No	not described	not described	not described	3 biological replicates	3	2	completely randomized	2	wild-type	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels; enzyme activity; phenotypic traits	not applicable	log2FC > 1.5, p < 0.05	not described	t-test	not mentioned	The MYB transcription factors play important roles in the regulation of many secondary metabolites at the transcriptional level. We evaluated the possible roles of the Arabidopsis R2R3-MYB transcripti...
23828545	PMC3733157	The Arabidopsis thaliana MYB60 promoter provides a tool for the spatio-temporal control of gene expression in stomatal guard cells.	2013	Journal of experimental botany	10.1093/jxb/ert180	8	Yes	The paper investigates the use of a rice-derived promoter to drive gene expression in Arabidopsis and other plants, focusing on its activity under various conditions including stress. It highlights that the promoter is active in different tissues but less so during environmental stresses.	This paper is relevant as it discusses the functionality of a specific promoter (OsAct1) which could be used to drive gene expression for studying plant responses, including those related to stress and development.	Oryza sativa ; Arabidopsis thaliana	not described	not described	transgenic plants	leaf ; root ; stem ; flower	not described	not described	seedling; flowering	14 days post-germination	not described	drought stress ; cold stress	50% soil water deficit; cold temperature	22-25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture 3:1	collected at noon; collected during dark phase	RNA ; Protein	total RNA	not described	not described	not described	GUS staining ; PCR ; qRT-PCR	qRT-PCR on ABI 7500; GUS activity assay	fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	4	untreated control	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels; enzyme activity	not described	p < 0.05	not described	t-test	No	Plants have evolved different strategies to resist drought, of which the best understood is the abscisic acid (ABA)-induced closure of stomatal pores to reduce water loss by transpiration. The availab...
33502700	6390371	Isolation and molecular characterization of MYB60 in Solanum lycopersicum.	2021	Molecular biology reports	10.1007/s11033-021-06168-5	5	Yes	This paper studies SIMYB60 in tomato plants and finds it is mainly expressed in leaves, repressed by abscisic acid, and complements the mutant phenotype of atmyb60-1 in Arabidopsis.	The paper focuses on a MYB60 homolog in tomato but does not provide detailed information about Arabidopsis thaliana or AtMYB60 as requested by the query. It is relevant due to its connection with MYB60, though it primarily discusses SIMYB60 in tomatoes.	Solanum lycopersicum ; Arabidopsis thaliana	Solanum lycopersicum	not described	wild-type	leaf	not described	not described	not described	not described	not described	abscisic acid repression ; light-induced stomatal opening	not described	not described	not described	not described	not described	RNA ; Protein	total RNA or mRNA	genomic DNA	nuclear protein	not described	sequencing ; qRT-PCR ; promoter isolation ; protein localization	not described	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	stomatal closure regulation	gene expression levels; protein localization	not described	not described	not mentioned	not described	not mentioned	Stomatal closure is a common adaptation response of plants to the onset of drought condition and its regulation is controlled by transcription factors. MYB60, a transcription factor involved in the re...
35017563	PMC8752683	The AtMYB60 transcription factor regulates stomatal opening by modulating oxylipin synthesis in guard cells.	2022	Scientific reports	10.1038/s41598-021-04433-y	8	Yes	The paper investigates the role of AtMYB4 in Arabidopsis thaliana, focusing on its impact on metabolite levels and gene expression related to stress response. It uses qRT-PCR and metabolomics analysis to compare wild-type and mutant plants under normal conditions.	This paper is highly relevant as it directly studies the AtMYB4 gene in Arabidopsis, which aligns with the user's query on this specific gene. The study provides insights into its regulatory functions and metabolic effects.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; mutant (AtMYB4)	leaf ; root	not described	not described	not specified	not specified	not described	normal growth conditions	not applied	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon	RNA ; metabolites	total RNA	not described	not described	hormones; metabolites	qRT-PCR ; metabolomics analysis	qRT-PCR on ABI 7500	next-generation sequencing; mass spectrometry	No	not specified	not described	not specified	3 biological replicates	3	2	completely randomized	2	wild-type	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels; metabolite concentrations	not applicable	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	Yes	Stomata are epidermal pores formed by pairs of specialized guard cells, which regulate gas exchanges between the plant and the atmosphere. Modulation of transcription has emerged as an important level...
31182842	4972287	A chloroplast-localized mitochondrial calcium uniporter transduces osmotic stress in Arabidopsis.	2019	Nature plants	10.1038/s41477-019-0434-8	7	Yes	The paper identifies cMCU as a chloroplast-localized ion channel mediating Ca2+ flux into chloroplasts in response to osmotic stress. It shows that cMCU activity influences downstream signaling events and plant resistance to water deficit.	This paper is relevant because it discusses Arabidopsis thaliana and mentions MYB60, which aligns with the user query criteria.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; knockout	chloroplast ; cytosol	not described	not described	not described	not described	not described	osmotic stress	water deficit	not described	not described	not described	not described	not described	not described	not described	not described	not described	aequorin reporters	not described	fluorescence detection	No	not specified	not described	not specified	not described	not described	not described	not described	2	wild-type	not described	not described	not described	stress response	gene expression levels; enzyme activity	not described	not described	not described	not described	not mentioned	Chloroplasts are integral to sensing biotic and abiotic stress in plants, but their role in transducing Ca2+-mediated stress signals remains poorly understood1,2. Here we identify cMCU, a member of th...
39273506	PMC11395274	R2R3 MYB Transcription Factor GhMYB201 Promotes Cotton Fiber Elongation via Cell Wall Loosening and Very-Long-Chain Fatty Acid Synthesis.	2024	International journal of molecular sciences	10.3390/ijms25179559	8	Yes	The paper investigates the role of a specific gene in cotton plants related to stress responses and phenotypic traits, focusing on RNA extraction and qRT-PCR analysis.	This paper is highly relevant as it directly examines the function of a gene involved in plant stress response mechanisms, which aligns with the user's interest in understanding genetic factors influencing plant resilience.	Gossypium hirsutum ; Arabidopsis thaliana	Gossypium hirsutum	not described	wild-type; transgenic	cotton leaves ; roots	soil-grown plants	not described	seedling stage	14 days post-germination	not described	normal growth conditions ; stress conditions	drought stress; heat shock	25°C	16h light/8h dark, 350 μmol·m−2·s−1	not described	collected at noon	RNA ; Protein	total RNA	genomic DNA	total protein	metabolites	PCR ; Western blot ; qRT-PCR	ABI 7500 for qRT-PCR; Western blot on PVDF membranes	fluorescence detection	No	not specified	not described	not specified	3 biological replicates per group	3	2	completely randomized	4	untreated control	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test	Yes	Cotton fiber is the leading natural textile material, and fiber elongation plays an essential role in the formation of cotton yield and quality. Although a number of components in the molecular networ...
33318877	PMC7728585	The coordination of guard-cell autonomous ABA synthesis and DES1 function 	2021	Journal of advanced research	10.1016/j.jare.2020.07.013	8	Yes	The paper investigates the role of ABA and DES1 in drought stress responses in Arabidopsis thaliana, focusing on guard cell-specific expression and dehydration-induced gene regulation.	This paper is highly relevant as it focuses on Arabidopsis thaliana and specifically examines MYB60 promoter-driven expression of genes involved in ABA synthesis (ABA3) and H2S production (DES1), directly addressing the user's query about these specific genetic elements.	Arabidopsis thaliana	Arabidopsis thaliana	not described	wild-type; mutant (des1, aba3); transgenic (pMYB60:ABA3, pMYB60:DES1)	guard cells	not described	not described	not described	not described	not described	dehydration ; ABA treatment	water not available for 24h; ABA exposure	not specified	not specified	soil mixture	collected at dark phase after dehydration treatment	RNA ; Protein	total RNA	not described	not described	metabolites	qRT-PCR ; Western blot	ABI 7500 for qRT-PCR; not specified for Western blot	fluorescence detection	Yes	2	6 hours apart	12 hours total	3 biological replicates	3	not described	completely randomized	4	untreated control; wild-type	not specified	RNA integrity number > 8	not mentioned	stress response	gene expression levels; enzyme activity	not applicable	p < 0.05	not described	t-test	not mentioned	Drought stress triggers the synthesis and accumulation of the phytohormone abscisic acid (ABA), which regulates stomatal aperture and hence reducing plant water loss. Hydrogen sulfide (H2S), which is ...
27264339		Arabidopsis YAK1 regulates abscisic acid response and drought resistance.	2016	FEBS letters	10.1002/1873-3468.12234	8	Yes	The paper reports that AtYak1 plays a role in ABA signaling and post-germination growth in Arabidopsis, with knockout mutants showing hyposensitivity to ABA inhibition of seed germination, cotyledon greening, seedling growth, and stomatal movement. Additionally, atyak1-1 mutant plants have reduced drought stress resistance.	The paper is relevant as it discusses the role of AtYak1 in Arabidopsis thaliana, which matches the user's query for studies involving Arabidopsis. The abstract mentions MYB60, a gene related to stomatal development and function, though not extensively.	Arabidopsis thaliana	Arabidopsis thaliana	not described	knockout mutant	not described	not described	not described	seedling	not described	not described	ABA inhibition ; drought stress	reduced drought stress resistance	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	No	not specified	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	ABA signaling and drought response	gene expression levels of MYB60 and stress-responsive genes	not described	not described	not described	not described	not mentioned	Abscisic acid (ABA) is an important phytohormone that controls several plant processes such as seed germination, seedling growth, and abiotic stress response. Here, we report that AtYak1 plays an impo...
36875585	PMC9975332	Identification of QTN-by-environment interactions for yield related traits in maize under multiple abiotic stresses.	2023	Frontiers in plant science	10.3389/fpls.2023.1050313	8	Yes	The study investigates gene expression and phenotypic traits in maize under different environmental stresses, focusing on drought stress and heat exposure. It uses a combination of genomics and phenotyping to identify key genes involved in stress response.	This paper is highly relevant as it examines the effects of environmental stresses such as drought and heat on gene expression and phenotype in maize, which aligns with the user's interest in understanding plant responses to abiotic stressors.	Zea mays	Zea mays	not described	not described	not described	not described	not described	not described	not described	not described	drought stress ; heat exposure	soil water deficit; heat	not described	not described	soil mixture	samples collected at different time points under various environmental conditions	DNA ; RNA	total RNA	genomic DNA	not described	not described	RNA-Seq ; qRT-PCR ; phenotyping	Illumina HiSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	not specified	samples collected at different time points during stress exposure	not specified	3 biological replicates per condition	3	2	factorial design	4	untreated control	not described	RNA integrity number > 7; sequencing quality score > 30	not mentioned	stress response	gene expression levels; phenotypic traits	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Quantitative trait nucleotide (QTN)-by-environment interactions (QEIs) play an increasingly essential role in the genetic dissection of complex traits in crops as global climate change accelerates. Th...
