pmid,title,year,journal,publication_type,authors,doi,pmcid,url,abstract,fetched_at
41068586,Transcriptome-based meta-analysis of drought stress regulatory genes in tomato.,2025,BMC plant biology,Journal Article; Meta-Analysis,Murtaza M; Aqeel M; Waheeb SA,10.1186/s12870-025-07348-2,PMC12513158,https://www.ncbi.nlm.nih.gov/pubmed/41068586,"Plants possess various molecular defense systems to ward off biotic and abiotic stresses and adjust to environmental changes. The RNA-seq technology assists biologists in quickly identifying genes responding to abiotic stresses. Thereby, using meta-transcriptomic data from the GEO NCBI public database, we have attempted to reach a consensus on gene variations. This approach identified a global set of 18 drought-responsive genes by Bonferroni-adjusted proportional test on one sample, p < 0.05, and extensive meta-transcriptome analytics. The annotation of these differentially expressed genes identified the biological process, molecular function, cellular component, KEGG, and plant ontology terms. The terms that were found to be top-enriched (with P and Q adjusted to be < 0.05) were intracellular signal transduction (Solyc04g076810 and Solyc10g076710), ribonuclease P activity (Solyc05g054420), nucleolar ribonuclease P complex (Solyc05g054420), Glycosphingolipid biosynthesis and lateral root apical meristem (Solyc03g005227), respectively. These meta-DEGs description include CBL-interacting protein kinase 8 (biological process), phospholipase C2 (biological process), XH/XS domain-containing protein (molecular function & cellular component), alpha 1,4-glycosyltransferase family protein (KEGG) and Histone superfamily protein (plant ontology). qRT-PCR-based gene expression analyses elaborated the similar trends in gene expression in both local genotypes under drought stress conditions covering the ratio of six to four as per down and upregulated meta-genes, respectively. This could indicate that these genes are part of a putative set of stress-responsive genes that are crucial for survival and adaptation under drought conditions thereby, they may serve as potential targets for future functional studies and breeding applications that will be helpful to enhance tomato production in the future.",2026-02-13T15:59:47.912770
35204192,"Melatonin Improves Drought Stress Tolerance of Tomato by Modulating Plant Growth, Root Architecture, Photosynthesis, and Antioxidant Defense System.",2022,"Antioxidants (Basel, Switzerland)",Journal Article,Altaf MA; Shahid R; Ren MX,10.3390/antiox11020309,PMC8868175,https://www.ncbi.nlm.nih.gov/pubmed/35204192,"Tomato is an important vegetable that is highly sensitive to drought (DR) stress which impairs the development of tomato seedlings. Recently, melatonin (ME) has emerged as a nontoxic, regulatory biomolecule that regulates plant growth and enhances the DR tolerance mechanism in plants. The present study was conducted to examine the defensive role of ME in photosynthesis, root architecture, and the antioxidant enzymes' activities of tomato seedlings subjected to DR stress. Our results indicated that DR stress strongly suppressed growth and biomass production, inhibited photosynthesis, negatively affected root morphology, and reduced photosynthetic pigments in tomato seedlings. Per contra, soluble sugars, proline, and ROS (reactive oxygen species) were suggested to be improved in seedlings under DR stress. Conversely, ME (100 µM) pretreatment improved the detrimental-effect of DR by restoring chlorophyll content, root architecture, gas exchange parameters and plant growth attributes compared with DR-group only. Moreover, ME supplementation also mitigated the antioxidant enzymes [APX (ascorbate peroxidase), CAT (catalase), DHAR (dehydroascorbate reductase), GST (glutathione S-transferase), GR (glutathione reductase), MDHAR (monodehydroascorbate reductase), POD (peroxidase), and SOD (superoxide dismutase)], non-enzymatic antioxidant [AsA (ascorbate), DHA (dehydroascorbic acid), GSH (glutathione), and GSSG, (oxidized glutathione)] activities, reduced oxidative damage [EL (electrolyte leakage), H2O2 (hydrogen peroxide), MDA (malondialdehyde), and O2•- (superoxide ion)] and osmoregulation (soluble sugars and proline) of tomato seedlings, by regulating gene expression for SOD, CAT, APX, GR, POD, GST, DHAR, and MDHAR. These findings determine that ME pretreatment could efficiently improve the seedlings growth, root characteristics, leaf photosynthesis and antioxidant machinery under DR stress and thereby increasing the seedlings' adaptability to DR stress.",2026-02-13T15:59:49.236240
36904041,Young Tomato Plants Respond Differently under Single or Combined Mild Nitrogen and Water Deficit: An Insight into Morphophysiological Responses and Primary Metabolism.,2023,"Plants (Basel, Switzerland)",Journal Article,Machado J; Vasconcelos MW; Soares C,10.3390/plants12051181,PMC10005627,https://www.ncbi.nlm.nih.gov/pubmed/36904041,"This study aimed to understand the morphophysiological responses and primary metabolism of tomato seedlings subjected to mild levels of nitrogen and/or water deficit (50% N and/or 50% W). After 16 days of exposure, plants grown under the combined deficit showed similar behavior to the one found upon exposure to single N deficit. Both N deficit treatments resulted in a significantly lower dry weight, leaf area, chlorophyll content, and N accumulation but in a higher N use efficiency when compared to control (CTR) plants. Moreover, concerning plant metabolism, at the shoot level, these two treatments also responded in a similar way, inducing higher C/N ratio, nitrate reductase (NR) and glutamine synthetase (GS) activity, expression of RuBisCO encoding genes as well as a downregulation of GS2.1 and GS2.2 transcripts. Interestingly, plant metabolic responses at the root level did not follow the same pattern, with plants under combined deficit behaving similarly to W deficit plants, resulting in enhanced nitrate and proline concentrations, NR activity, and an upregulation of GS1 and NR genes than in CTR plants. Overall, our data suggest that the N remobilization and osmoregulation strategies play a relevant role in plant acclimation to these abiotic stresses and highlight the complexity of plant responses under a combined N+W deficit.",2026-02-13T15:59:49.962591
37176949,The Tomato Feruloyl Transferase FHT Promoter Is an Accurate Identifier of Early Development and Stress-Induced Suberization.,2023,"Plants (Basel, Switzerland)",Journal Article,Kashyap A; Jiménez-Jiménez Á; Figueras M,10.3390/plants12091890,PMC10181283,https://www.ncbi.nlm.nih.gov/pubmed/37176949,"As a wall polymer, suberin has a multifaceted role in plant development and stress responses. It is deposited between the plasma membrane and the primary cell wall in specialized tissues such as root exodermis, endodermis, phellem, and seed coats. It is formed de novo in response to stresses such as wounding, salt injury, drought, and pathogen attack and is a complex polyester mainly consisting of fatty acids, glycerol, and minor amounts of ferulic acid that are associated to a lignin-like polymer predominantly composed of ferulates. Metabolomic and transcriptomic studies have revealed that cell wall lignification precedes suberin deposition. The ferulic acid esterified to ω-hydroxy fatty acids, synthetized by the feruloyl transferase FHT (or ASFT), presumably plays a role in coupling both polymers, although the precise mechanism is not understood. Here, we use the promoter of tomato suberin feruloyl transferase (FHT/ASFT) fused to GUS (β-glucuronidase) to demonstrate that ferulate deposition agrees with the site of promoter FHT activation by using a combination of histochemical staining and UV microscopy. Hence, FHT promoter activation and alkali UV microscopy can be used to identify the precise localization of early suberizing cells rich in ferulic acid and can additionally be used as an efficient marker of early suberization events during plant development and stress responses. This line can be used in the future as a tool to identify emerging suberization sites via ferulate deposition in tomato plants, which may contribute to germplasm screening in varietal improvement programs.",2026-02-13T15:59:50.639883
36213953,Tomato deploys defence and growth simultaneously to resist bacterial wilt disease.,2023,"Plant, cell & environment","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Meline V; Hendrich CG; Truchon AN,10.1111/pce.14456,NA,https://www.ncbi.nlm.nih.gov/pubmed/36213953,"Plant disease limits crop production, and host genetic resistance is a major means of control. Plant pathogenic Ralstonia causes bacterial wilt disease and is best controlled with resistant varieties. Tomato wilt resistance is multigenic, yet the mechanisms of resistance remain largely unknown. We combined metaRNAseq analysis and functional experiments to identify core Ralstonia-responsive genes and the corresponding biological mechanisms in wilt-resistant and wilt-susceptible tomatoes. While trade-offs between growth and defence are common in plants, wilt-resistant plants activated both defence responses and growth processes. Measurements of innate immunity and growth, including reactive oxygen species production and root system growth, respectively, validated that resistant plants executed defence-related processes at the same time they increased root growth. In contrast, in wilt-susceptible plants roots senesced and root surface area declined following Ralstonia inoculation. Wilt-resistant plants repressed genes predicted to negatively regulate water stress tolerance, while susceptible plants repressed genes predicted to promote water stress tolerance. Our results suggest that wilt-resistant plants can simultaneously promote growth and defence by investing in resources that act in both processes. Infected susceptible plants activate defences, but fail to grow and so succumb to Ralstonia, likely because they cannot tolerate the water stress induced by vascular wilt.",2026-02-13T15:59:51.366431
35151004,The cytokinin-producing plant beneficial bacterium Pseudomonas fluorescens G20-18 primes tomato (Solanum lycopersicum) for enhanced drought stress responses.,2022,Journal of plant physiology,Journal Article,Mekureyaw MF; Pandey C; Hennessy RC,10.1016/j.jplph.2022.153629,NA,https://www.ncbi.nlm.nih.gov/pubmed/35151004,"Plant growth-promoting rhizobacteria (PGPR) are known for exerting beneficial effects on plant growth and tolerance to plant pathogens. However, their specific role in mediating protection against abiotic stress remains underexplored. The aim of this study was to characterise the ability of the cytokinin-producing beneficial bacterium Pseudomonas fluorescens G20-18 to enhance tomato growth and boost tolerance to drought stress. Tomato seedlings were root inoculated and their growth and physiological and molecular responses assessed under well-watered conditions and also in response to progressive drought stress and a subsequent recovery period. Root inoculation with G20-18 had a significant positive impact on tomato growth. Furthermore, G20-18 inoculated and drought-stressed plants showed higher leaf chlorophyll and abscisic acid (ABA) content and stomatal closure than non-inoculated controls. Root inoculation also increased the activity of different carbohydrate metabolism enzymes, which are important for root and leaf growth and development in drought stressed plants. A significant increase in the activity of different antioxidant enzymes and total antioxidant capacity correlated with elevated levels of relevant secondary metabolites, such as phenolics, anthocyanins and flavonoids. RNA sequencing revealed distinct qualitative and quantitative differences in gene regulation in response to G20-18. Notably, the number of genes differentially regulated in response to G20-18 was approximately sevenfold higher during drought stress, indicating that root inoculation with the bacteria primed the plants for a much stronger transcriptionally regulated systemic drought stress response. The regulated genes are related to phenylalanine metabolism and other key processes linked to plant growth, development and drought stress resilience. A role of the ability of G20-18 to produce the plant hormone cytokinin for interaction with tomato was established by the cytokinin-deficient biosynthesis mutants CNT1 and CNT2. In comparison with G20-18, the inoculation of plants with CNT1 resulted in a reduced number of differentially regulated genes. The relative change was most prominent under well-watered conditions with a 85 % reduction, corresponding to 462 genes. However, under drought conditions the absolute number of differentially regulated genes was reduced by even 2219 in response to the CNT1 mutant. The relevance of the ability of G20-18 to produce cytokinins for interaction with plants was also evident from differences in growth and specific cell and ecophysiological parameters in response to CNT1 and CNT2. These findings provide novel insights about G20-18's ability to improve drought stress responses and the role of interkingdom signalling by bacterial-derived cytokinins, and contribute to enhance the robustness of the practical application of these microorganisms to improve crop resilience in agricultural production.",2026-02-13T15:59:51.946107
34421937,Abscisic Acid Mediates Drought-Enhanced Rhizosheath Formation in Tomato.,2021,Frontiers in plant science,Journal Article,Karanja JK; Aslam MM; Qian Z,10.3389/fpls.2021.658787,PMC8378331,https://www.ncbi.nlm.nih.gov/pubmed/34421937,"The rhizosheath, commonly defined as soil adhering to the root surface, may confer drought tolerance in various crop species by enhancing access to water and nutrients under drying stress conditions. Since the role of phytohormones in establishing this trait remains largely unexplored, we investigated the role of ABA in rhizosheath formation of wild-type (WT) and ABA-deficient (notabilis, not) tomatoes. Both genotypes had similar rhizosheath weight, root length, and root ABA concentration in well-watered soil. Drying stress treatment decreased root length similarly in both genotypes, but substantially increased root ABA concentration and rhizosheath weight of WT plants, indicating an important role for ABA in rhizosheath formation. Neither genotype nor drying stress treatment affected root hair length, but drying stress treatment decreased root hair density of not. Under drying stress conditions, root hair length was positively correlated with rhizosheath weight in both genotypes, while root hair density was positively correlated with rhizosheath weight in well-watered not plants. Root transcriptome analysis revealed that drought stress increased the expression of ABA-responsive transcription factors, such as AP2-like ER TF, alongside other drought-regulatory genes associated with ABA (ABA 8'-hydroxylase and protein phosphatase 2C). Thus, root ABA status modulated the expression of specific gene expression pathways. Taken together, drought-induced rhizosheath enhancement was ABA-dependent, but independent of root hair length.",2026-02-13T15:59:52.669744
31724184,Tomato roots have a functional silicon influx transporter but not a functional silicon efflux transporter.,2020,"Plant, cell & environment","Journal Article; Research Support, Non-U.S. Gov't",Sun H; Duan Y; Mitani-Ueno N,10.1111/pce.13679,NA,https://www.ncbi.nlm.nih.gov/pubmed/31724184,"Silicon (Si) accumulation in shoots differs greatly with plant species, but the molecular mechanisms for this interspecific difference are unknown. Here, we isolated homologous genes of rice Si influx (SlLsi1) and efflux (SlLsi2) transporter genes in tomato (Solanum lycopersicum L.) and functionally characterized these genes. SlLsi1 showed transport activity for Si when expressed in both rice lsi1 mutant and Xenopus laevis oocytes. SlLsi1 was constitutively expressed in the roots. Immunostaining showed that SlLsi1 was localized at the plasma membrane of both root tip and basal region without polarity. Furthermore, overexpression of SlLsi1 in tomato increased Si concentration in the roots and root cell sap but did not alter the Si concentration in the shoots. By contrast, two Lsi2-like proteins did not show efflux transport activity for Si in Xenopus oocytes. However, when functional CsLsi2 from cucumber was expressed in tomato, the Si uptake was significantly increased, resulting in higher Si accumulation in the leaves and enhanced tolerance of the leaves to water deficit and high temperature. Our results suggest that the low Si accumulation in tomato is attributed to the lack of functional Si efflux transporter Lsi2 required for active Si uptake although SlLsi1 is functional.",2026-02-13T15:59:53.361454
41414049,Mediterranean Tomato Landraces Exhibit Genotype-Specific Transcriptomic Responses to Water Stress.,2025,Physiologia plantarum,Journal Article,Juan-Cabot A; Carrillo L; Fullana-Pericàs M,10.1111/ppl.70696,PMC12715300,https://www.ncbi.nlm.nih.gov/pubmed/41414049,"Drought stress is a critical limitation to crop production, particularly in Mediterranean climates. The molecular response of drought adaptation in crops is variable and coordinated in leaves and roots. To understand the molecular basis of drought tolerance in tomato, the transcriptomic responses of two drought-tolerant Mediterranean landraces ('de Ramellet' from Spain and 'Lucariello' from Italy) were compared with two commercial varieties ('Moneymaker' and 'Ailsa Craig'). Plants were grown under well-watered and water stress conditions, performing RNA sequencing in leaf and root tissues. Differential expression analysis denoted that the transcriptomic response to water stress was mostly genotype-dependent and tissue-dependent. Only 0.9% of leaf DEGs and 5.1% of root DEGs were shared across all genotypes, including pathways like response to salt, response to heat, and photosynthesis. Commercial genotypes regulated a wide array of metabolic pathways, including plant-defense, indicative of a response to a general metabolic impairment. In contrast, landraces exhibited a more targeted transcriptional response, specifically triggering drought- and stress-related pathways. The 'de Ramellet' landrace exhibited a highly divergent leaf response, characterized by increased expression of osmotic stress-related genes and heat stress pathways, while 'Lucariello' regulated salt transmembrane transporters and antioxidant defenses, particularly in roots. These findings highlight the distinct molecular strategies employed by landraces and commercial cultivars under water stress, emphasizing the potential of Mediterranean landraces as genetic resources for improving drought resilience in tomato breeding programs.",2026-02-13T15:59:54.143106
27359066,Arbuscular mycorrhizal symbiosis-mediated tomato tolerance to drought.,2016,Plant signaling & behavior,"Journal Article; Research Support, Non-U.S. Gov't",Chitarra W; Maserti B; Gambino G,10.1080/15592324.2016.1197468,PMC4991350,https://www.ncbi.nlm.nih.gov/pubmed/27359066,"A multidisciplinary approach, involving eco-physiological, morphometric, biochemical and molecular analyses, has been used to study the impact of two different AM fungi, i.e. Funneliformis mosseae and Rhizophagus intraradices, on tomato response to water stress. Overall, results show that AM symbiosis positively affects the tolerance to drought in tomato with a different plant response depending on the involved AM fungal species.",2026-02-13T15:59:54.843788
